16:7549,7667,8528,8667,9296,9850,9854,9964,10407,10431,11253,12318,12325,12767,12946,9796,10036,12442,12899,12965,12968,13012,13016,13021,13026,13031,13036,13046,13051,13059
17:7437,7469,7535,7671,8210,9290,9293,9437,9594,9745,10446,12310,12364,12689,12761,12933,12940,8322,8774,9313,9491,9814,9816,10012,12169,12174,12178,12734,12887,12893
18:7549,7667,8528,8667,9296,9850,9854,9964,10407,10431,11253,12318,12325,12767,12946,9796,10036,12442,12899,12965,12968,13012,13016,13021,13026,13031,13036,13046,13051,13059
19:7549,7667,8528,8667,9296,9850,9854,9964,10407,10431,11253,12318,12325,12767,12946,9796,10036,12442,12899,12965,12968,13012,13016,13021,13026,13031,13036,13046,13051,13059
20:7437,7469,7535,7671,8210,9290,9293,9437,9594,9745,10446,12310,12364,12689,12761,12933,12940,8322,8774,9313,9491,9814,9816,10012,12169,12174,12178,12734,12887,12893
22:8704,9289,9291,9292,9741,9742,10044,10047,12945,12953,4633,5036,5039,9795,10034,12188,12193,12213,12628,12890,10430,12100,7327,7504,9689,11443,12190,12191,12192,11417
23:7437,7469,7535,7671,8210,9290,9293,9437,9594,9745,10446,12310,12364,12689,12761,12933,12940,8322,8774,9313,9491,9814,9816,10012,12169,12174,12178,12734,12887,12893
24:7549,7667,8528,8667,9296,9850,9854,9964,10407,10431,11253,12318,12325,12767,12946,9796,10036,12442,12899,12965,12968,13012,13016,13021,13026,13031,13036,13046,13051,13059
25:7437,7469,7535,7671,8210,9290,9293,9437,9594,9745,10446,12310,12364,12689,12761,12933,12940,8322,8774,9313,9491,9814,9816,10012,12169,12174,12178,12734,12887,12893
26:7437,7469,7535,7671,8210,9290,9293,9437,9594,9745,10446,12310,12364,12689,12761,12933,12940,8322,8774,9313,9491,9814,9816,10012,12169,12174,12178,12734,12887,12893
27:7437,7469,7535,7671,8210,9290,9293,9437,9594,9745,10446,12310,12364,12689,12761,12933,12940,8322,8774,9313,9491,9814,9816,10012,12169,12174,12178,12734,12887,12893
28:8704,9289,9291,9292,9741,9742,10044,10047,12945,12953,4633,5036,5039,9795,10034,12188,12193,12213,12628,12890,10430,12100,7327,9689,11443,12190,12191,12192,11417,12439
29:7578,7582,7647,9426,9748,9756,9757,9770,9849,10215,10247,10250,10408,10410,12763,8907,9596,11449,12724,12905,12906,12925,7681,9784,12383,8161,8859,9810,12852,7421
30:8704,9289,9291,9292,9741,9742,10044,10047,12945,12953,4633,5036,5039,9795,10034,12188,12193,12213,12628,12890,10430,12100,7327,9689,11443,12190,12191,12192,11417,12439
31:7549,7667,8528,8667,9296,9850,9854,9964,10407,10431,11253,12318,12325,12767,12946,9796,10036,12442,12899,12965,12968,13012,13016,13021,13026,13031,13036,13046,13051,13059
